level1,,
あり,ARI,蟻
ひれいだいひょうせい,HIREIDAIHYOUSEI,比例代表制
むじょうけんこうふく,MUJOUKENKOUHUKU,無条件降伏
ようちゅういじんぶつ,YOUTYUUIJINBUTU,要注意人物
わくせいかんぶっしつ,WAKUSEIKANBUSSITU,惑星間物質
level7,,
あんぜんほしょうりじかい,ANZENHOSYOURIJIKAI,安全保障理事会
おぐらひゃくにんいっしゅ,OGURAHYAKUNINNISSYU,小倉百人一首
けいざいさんぎょうしょう,KEIZAISANGYOUSYOU,経済産業省
げんしりょくはつでんしょ,GENSIRYOKUHATUDENSYO,原子力発電所
しょうがいぶつきょうそう,SYOUGAIBUTUKYOUSOU,障害物競走
ちほうこうきょうだんたい,TIHOUKOUKYOUDANTAI,地方公共団体
とぶとりをおとすいきおい,TOBUTORIWOOTOSUIKIOI,飛ぶ鳥を落とす勢い
みかくにんひこうぶったい,MIKAKUNINHIKOUBUTTAI,未確認飛行物体
level8,,
ちゅうかじんみんきょうわこく,TYUUKAJINMINKYOUWAKOKU,中華人民共和国
にがむしをかみつぶしたような,NIGAMUSIWOKAMITUBUSITAYOUNA,苦虫を噛み潰したような
ひとのふんどしですもうをとる,HITONOHUNDOSIDESUMOUWOTORU,人の褌で相撲を取る
めのなかにいれてもいたくない,MENONAKANIIRETEMOITAKUNAI,目の中に入れても痛くない
さんにんよればもんじゅのちえ,SANNNINYOREBAMONJUNOTIE,三人寄れば文殊の知恵
すぎたるはおよばざるがごとし,SUGITARUHAOYOBAZARUGAGOTOSI,過ぎたるは及ばざるが如し
ももくりさんねんかきはちねん,MOMOKURISANNNENKAKIHATINEN,桃栗三年柿八年
にとをおうものはいっとをもえず,NITOWOOUMONOHAITTOWOMOEZU,二兎を追う者は一兎をも得ず
こけつにいらずんばこじをえず,KOKETUNIIRAZUNBAKOJIWOEZU,虎穴に入らずんば虎子を得ず
level9,,
くろろべんじりでんまろのにとりる,KUROROBENJIRIDENMARONONITORIRU,クロロベンジリデンマロノニトリル
のどもとすぎればあつさをわすれる,NODOMOTOSUGIREBAATUSAWOWASURERU,喉元過ぎれば熱さを忘れる
さんじゅうろっけいにげるにしかず,SANJUUROKKEINIGERUNISIKAZU,三十六計逃げるに如かず
いっすんのむしにもごぶのたましい,ISSUNNNOMUSINIMOGOBUNOTAMASII,一寸の虫にも五分の魂
いのなかのかわずたいかいをしらず,INONAKANOKAWAZUTAIKAIWOSIRAZU,井の中の蛙大海を知らず
いちねんのけいはがんたんにあり,ITINENNNOKEIHAGANTANNNIARI,一年の計は元旦にあり
じんじをつくしててんめいをまつ,JINJIWOTUKUSITETENMEIWOMATU,人事を尽くして天命を待つ
ぼうずにくけりゃけさまでにくい,BOUZUNIKUKERYAKESAMADENIKUI,坊主憎けりゃ袈裟まで憎い
level10,,
せんどうおおくしてふねやまにのぼる,SENDOUOOKUSITEHUNEYAMANINOBORU,船頭多くして船山に上る
あおはあいよりいでてあいよりあおし,AOHAAIYORIIDETEAIYORIAOSI,青は藍より出でて藍より青し
かわいさあまってにくさがひゃくばい,KAWAISAAMATTENIKUSAGAHYAKUBAI,可愛さ余って憎さが百倍
いっすんのこういんかるんずべからず,ISSUNNNOKOUINKARUNZUBEKARAZU,一寸の光陰軽んずべからず
きんいしゅくせいそくさくこうかしょう,KINNISYUKUSEISOKUSAKUKOUKASYOU,筋萎縮性側索硬化症
